"Gambar Produk","Link Produk","Nama Produk","Nama Toko","Harga","Omset Total","Penjualan Total","Omset 30 Hari","Penjualan 30 Hari","Rating"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7ra0n-md78kskxc7ug98_tn.webp","https://shopee.co.id/anchi-sepeda-lipat-20-inch-dewasa-anak-anak-i.1459546047.41907155672","ANCHI Sepeda Lipat 20 Inch Dewasa Anak-anak","Biking King","Rp 798.888","Rp 11.983.320","15","Rp 798.888","1","4.50"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224p-mgsuy8n93pcfac_tn.webp","https://shopee.co.id/element-troy-10-speed-lipat-16-inch-chromoly-i.340563993.25908356134","Element Troy 10 Speed Lipat 16 Inch Chromoly","Toko Sepeda Modern.","Rp 2.800.925","Rp 98.032.375","35","Rp 2.800.925","1","4.71"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224q-mhllbepgr3sycc_tn.webp","https://shopee.co.id/anchi-sepeda-lipat-anak-20-inci-7-percepatan-i.1560775407.41808176378","Anchi Sepeda Lipat Anak 20 Inci 7 Percepatan","Anchi Cycle","Rp 797.500","Rp 20.735.000","26","Rp 9.570.000","12","4.86"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224q-mjpiuco4p4oze2_tn.webp","https://shopee.co.id/sepeda-anak-sepeda-lipat-ukuran-12-14-16-roda-bantu-anak-usia-2-8-tahun-ringan-tahan-lama-i.1379380482.55602401658","Sepeda Anak Sepeda Lipat Ukuran 12 14 16 Roda Bantu Anak Usia 2-8 Tahun Ringan Tahan Lama","Baby On Tour","Rp 679.000","Rp 96.418.000","142","Rp 93.702.000","138","4.57"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224v-mkm3euay9lol0a_tn.webp","https://shopee.co.id/anchi-mtb-2752624-inch-21-speed-alloy-frame-i.1485605484.26781450140","Anchi MTB 27.5/26/24 Inch 21 Speed Alloy Frame","Bike Ranger","Rp 1.038.510","Rp 278.320.680","268","Rp 20.770.200","20","4.66"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/5d09ab0bb14eeb10021f8d64d40edb7d_tn.webp","https://shopee.co.id/kursi-boncengan-sepeda-lipat-aman-anak-1-5-tahun-i.176257502.4675730584","Kursi Boncengan Sepeda Lipat Aman Anak 1-5 Tahun","civenpas","Rp 132.900","Rp 132.368.400","996","Rp 3.455.400","26","4.56"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-81zth-me9ttez3zyf80f_tn.webp","https://shopee.co.id/sepeda-anak-laki-laki-sepeda-lipat-bmx2-12tahun-ringan-roda-bantu-ban-karet-aman-sepeda-anak-2-tahun-i.922163623.43716842052","Sepeda Anak Laki Laki Sepeda Lipat BMX2-12Tahun Ringan Roda Bantu Ban Karet Aman Sepeda Anak 2 Tahun","Moon Park","Rp 687.000","Rp 587.385.000","855","Rp 125.034.000","182","4.80"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224o-mjnml9mtp2x1eb_tn.webp","https://shopee.co.id/sepeda-lipat-folding-foldx-x2-spiderman-edition-i.1173215127.22164437148","SEPEDA LIPAT / Folding FoldX X2 Spiderman Edition","Element Store Jawa Tengah","Rp 1.478.000","Rp 31.038.000","21","Rp 2.956.000","2","5.00"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224z-mgxgs6s15qtrcd_tn.webp","https://shopee.co.id/anchi-2025-sepeda-gunung-anak-20-inci-aman-portabel-i.1485605484.51301169881","Anchi 2025 Sepeda Gunung Anak 20 Inci Aman Portabel","Bike Ranger","Rp 741.510","Rp 114.192.540","154","Rp 30.401.910","41","4.34"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-81zto-mfgmi97iqvihb0_tn.webp","https://shopee.co.id/anchi-sepeda-gunung-20-7-speed-unisex-mtb-i.1440287841.44372932928","Anchi Sepeda Gunung 20"" 7-Speed Unisex MTB","ANCHI Official Store","Rp 832.352","Rp 86.564.608","104","Rp 19.144.096","23","4.26"
