"Gambar Produk","Link Produk","Nama Produk","Nama Toko","Harga","Omset Total","Penjualan Total","Omset 30 Hari","Penjualan 30 Hari","Rating"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224q-mj7tf7vksnwjf6_tn.webp","https://shopee.co.id/u-winfly-t90-motor-listrik-i.102598934.29875043230","U-Winfly T90 Motor Listrik","U WINFLY Official Store","Rp 12.299.000","Rp 1.906.345.000","155","Rp 159.887.000","13","4.77"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7rbk1-m8fpgl31widt0a_tn.webp","https://shopee.co.id/voxa-sepeda-listrik-elite-rider-terbaru-motor-48v-600-watt-murah-dewasa-i.31620766.28626082778","VOXA Sepeda Listrik Elite Rider Terbaru motor 48V 600 watt  Murah Dewasa","VOXA Official Shop","Rp 5.600.000","Rp 100.800.000","18","Rp 5.600.000","1","4.20"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7ra0m-md5j1p2o9mbgd4_tn.webp","https://shopee.co.id/sanken-sepeda-listrik-ev-bike-dash-d1-electric-e-bike-500-watt-starlight-blue-i.1515586907.26283621325","Sanken Sepeda Listrik Ev Bike Dash-D1 Electric E Bike 500 Watt Starlight Blue","Sanken Ev Bike Official Store ","Rp 7.872.000","Rp 39.360.000","5","Rp 7.872.000","1","5.00"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224q-mj7trvncpbsz87_tn.webp","https://shopee.co.id/u-winfly-t85-motor-listrik-i.102598934.42306798349","U-Winfly T85 Motor Listrik","U WINFLY Official Store","Rp 9.505.020","Rp 1.359.217.860","143","Rp 104.555.220","11","4.81"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224p-mj7tn59shou8f4_tn.webp","https://shopee.co.id/u-winfly-m100-gen-3-motor-listrik-i.102598934.27475033296","U-Winfly M100  GEN 3 (Motor Listrik)","U WINFLY Official Store","Rp 17.499.000","Rp 3.499.800.000","200","Rp 244.986.000","14","4.63"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224q-mgdd83s43cwd54_tn.webp","https://shopee.co.id/voxa-sepeda-listrik-liberty-ultimate-terbaru-sepeda-motor-48v12ah-murah-dewasa-dan-anak-rekomendasi-terbaik-garansi-resmi-i.31620766.25569196818","VOXA Sepeda Listrik Liberty Ultimate Terbaru sepeda motor 48V/12AH Murah Dewasa dan Anak Rekomendasi Terbaik Garansi Resmi","VOXA Official Shop","Rp 3.800.000","Rp 117.800.000","31","Rp 3.800.000","1","4.73"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7ra0g-mcj1ni720k3c3a_tn.webp","https://shopee.co.id/kinma-rose-sepeda-listrik-800w-60km-garansi-i.1440067314.41209302436","Kinma Rose Sepeda Listrik 800W 60km Garansi","Kinma.lndonesia","Rp 5.498.900","Rp 49.490.100","9","Rp 5.498.900","1","4.80"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224z-mgddypmyaivg4d_tn.webp","https://shopee.co.id/voxa-sepeda-listrik-premium-eiffel-7-dewasa-anak-murah-terbaru-i.31620766.49750308805","VOXA sepeda listrik Premium EIFFEL 7 Dewasa anak murah terbaru","VOXA Official Shop","Rp 3.500.000","Rp 73.500.000","21","Rp 42.000.000","12","4.90"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224s-mgdd83s47klrdb_tn.webp","https://shopee.co.id/voxa-sepeda-listrik-premium-liberty-7-dewasa-anak-murah-terbaru-i.31620766.46950308101","VOXA sepeda listrik Premium LIBERTY 7 Dewasa anak murah terbaru","VOXA Official Shop","Rp 3.400.000","Rp 27.200.000","8","Rp 13.600.000","4","5.00"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-81ztd-mfnoe9bz2n0rd9_tn.webp","https://shopee.co.id/sepeda-listrik-tabibitho-hozumi-500w-baterai-50km-i.340300366.41973494540","Sepeda Listrik Tabibitho Hozumi 500W Baterai 50km","ThrillBicycle","Rp 3.150.000","Rp 34.650.000","11","Rp 22.050.000","7","5.00"
