Gambar Produk,Link Produk,Nama Produk,Nama Toko,Harga,Omset Total,Penjualan Total,Omset 30 Hari,Penjualan 30 Hari,Rating
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7rasf-m0lhwy2ipobab5_tn.webp,https://shopee.co.id/sepeda-lipat-folding-bike-alton-kronos-10-20inch-7-speed-i.26865232.27212353799,Sepeda Lipat / Folding Bike Alton Kronos 1.0 20Inch 7 Speed,Element Bike Indonesia,Rp 1.737.000,Rp 260.550.000,150.0,Rp 6.948.000,4,4.88
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-82251-mhjvgeib6m0wc0_tn.webp,https://shopee.co.id/anchi-5-year-warranty-2025-folding-bike-20-i.1440287841.28930224800,"Anchi 5-Year Warranty 2025 Folding Bike 20""",ANCHI Official Store,Rp 815.000,Rp 422.170.000,518.0,Rp 54.605.000,67,4.54
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7r98s-lrmjfiemaa7o1c_tn.webp,https://shopee.co.id/wimcycle-sepeda-perkotaan-canary-16-sepeda-city-bike-ctb-i.625118390.25013210904,Wimcycle Sepeda Perkotaan Canary 16 | Sepeda City Bike CTB,Wimcycle Official Shop,Rp 2.055.000,Rp 184.950.000,90.0,Rp 24.660.000,12,4.8
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7r98z-lphzkdcpxewlb0_tn.webp,https://shopee.co.id/sepeda-lipat-ukuran-20-inch-repaint-pacific-mulus-i.65251015.19193613190,Sepeda Lipat Ukuran 20 Inch Repaint Pacific Mulus,Jastro sport,Rp 730.000,Rp 189.800.000,260.0,Rp 5.840.000,8,4.5
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7ra0h-mbs79i3ad9xs83_tn.webp,https://shopee.co.id/genio-vesta-f371-lipat-20-discbrake-8-speed-i.105979235.22550749830,"Genio Vesta F371 Lipat 20"" Discbrake 8 Speed",Lautan Jaya Bike,Rp 1.198.000,Rp 935.638.000,781.0,Rp 37.138.000,31,4.75
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-81ztc-mf1381lk2pzj38_tn.webp,https://shopee.co.id/sepeda-lipat-odessy-phyton-bahasi-ukuran-16-dan-20-36-frame-steel-7-speed-garansi-original-i.34416008.25260364089,"Sepeda Lipat Odessy Phyton Bahasi Ukuran 16"" dan 20"" 36 Frame Steel - 7 Speed Garansi Original",Odessy Official Shop,Rp 1.250.000,Rp 146.250.000,117.0,Rp 7.500.000,6,4.71
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7ra0l-md87hnf8c79429_tn.webp,https://shopee.co.id/sepeda-lipat-16-20-inch-element-police-milan-pastel-8-speed-kronos-10-i.101726601.22289362280,SEPEDA LIPAT 16 20 INCH ELEMENT POLICE MILAN PASTEL 8 SPEED / KRONOS 1.0,SENTRA BIKE,Rp 1.569.000,Rp 928.848.000,592.0,Rp 40.794.000,26,4.86
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-81ztg-mez37okcyayvf4_tn.webp,https://shopee.co.id/sepeda-lipat-odessy-ritz-ukuran-16-dan-20-tidak-bahasi-speed-7-garansi-original-murah-polos-i.34416008.15701416637,"Sepeda Lipat Odessy Ritz Ukuran 16"" dan 20"" Tidak Bahasi Speed 7 Garansi Original Murah Polos",Odessy Official Shop,Rp 1.275.000,Rp 77.775.000,61.0,Rp 5.100.000,4,4.68
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7r98u-m09wknrd8kljb8_tn.webp,https://shopee.co.id/sepeda-lipat-remaja-dewasa-16-inch-evergreen-single-speed-evergreen-7speed-i.51418619.21284005749,SEPEDA LIPAT REMAJA DEWASA 16 INCH EVERGREEN SINGLE SPEED / EVERGREEN 7SPEED,JAYA ABADI BIKE,Rp 1.099.000,Rp 196.721.000,179.0,Rp 12.089.000,11,4.74
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-81zto-me54rguelfk102_tn.webp,https://shopee.co.id/odessy-ritz-20-inch-folding-bike-disc-brake-i.101726601.18664730274,Odessy Ritz 20 Inch Folding Bike Disc Brake,SENTRA BIKE,Rp 1.149.000,Rp 320.571.000,279.0,Rp 3.447.000,3,4.81
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-81ztl-mfg9f4nvgj6034_tn.webp,https://shopee.co.id/sepeda-lipat-16-evergreen-1speed-terbaru-i.19737296.11834823419,Sepeda Lipat 16 Evergreen 1Speed Terbaru,TWINSBIKECIBINONG,Rp 700.000,Rp 356.300.000,509.0,Rp 7.000.000,10,4.79
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7ra0j-mdlah7tr5bu73c_tn.webp,https://shopee.co.id/termurah-sepeda-lipat-7-speed-rem-discbrake-anak-dewasa-i.344785187.20373497914,(Termurah) Sepeda Lipat 7 Speed Rem Discbrake Anak Dewasa,Lautan Sepeda,Rp 630.000,Rp 630.000.000,1.0,Rp 93.870.000,149,4.67
